Yelp_id	Address	Name	Price	Rating	Review Count	Latitude	Longitude	City	Zipcode	Category1	Category2	Category3	County	Tract
del-taco-la-verne	{'address1': '1398 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1398 Foothill Blvd', 'La Verne, CA 91750']}	Del Taco	1	3.0	36	-117.77723	34.11698	La Verne	91750	Mexican	Fast Food		Los Angeles County	401603.0
subway-san-dimas-3	{'address1': '728 E Foothill', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['728 E Foothill', 'San Dimas, CA 91773']}	Subway	1	3.5	21	-117.7927797	34.1220461	San Dimas	91773	Sandwiches	Fast Food		Los Angeles County	400302.0
panda-express-la-verne	{'address1': '2371 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2371 Foothill Blvd', 'La Verne, CA 91750']}	Panda Express	1	2.5	58	-117.75962659999998	34.1117257	La Verne	91750	Fast Food	Chinese		Los Angeles County	401601.0
jack-in-the-box-la-verne	{'address1': '1090 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1090 Foothill Blvd', 'La Verne, CA 91750']}	Jack In The Box	1	2.5	27	-117.783851	34.119096	La Verne	91750	Fast Food			Los Angeles County	400302.0
carls-jr-la-verne	{'address1': '1400 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1400 Foothill Blvd', 'La Verne, CA 91750']}	Carl's Jr	1	1.5	37	-117.77635586727699	34.116719558980996	La Verne	91750	Fast Food	Burgers		Los Angeles County	401603.0
pizza-hut-la-verne	{'address1': '2208 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2208 Foothill Blvd', 'La Verne, CA 91750']}	Pizza Hut	2	2.0	25	-117.763265222311	34.1125917434692	La Verne	91750	Pizza	Italian	Chicken Wings	Los Angeles County	401602.0
mustache-mikes-365-long-beach	{'address1': 'Shore Line Aquatic Park', 'address2': None, 'address3': None, 'city': 'Long Beach', 'zip_code': '90801', 'country': 'US', 'state': 'CA', 'display_address': ['Shore Line Aquatic Park', 'Long Beach, CA 90801']}	Mustache Mikes 365	1	5.0	3	-118.197011612356	33.7624390089761	Long Beach	90801	Ice Cream & Frozen Yogurt	Food Stands	Italian	Los Angeles County	576001.0
shawarma-and-falafel-palace-food-truck-los-angeles	{'address1': '7782 San Fernando Rd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '91352', 'country': 'US', 'state': 'CA', 'display_address': ['7782 San Fernando Rd', 'Los Angeles, CA 91352']}	Shawarma and Falafel Palace Food Truck	1	1.0	1	-118.35861000000001	34.21332	Los Angeles	91352	Food Trucks	Middle Eastern		Los Angeles County	122200.0
tropical-mexico-pomona	{'address1': '1371 S E End Ave', 'address2': '', 'address3': '', 'city': 'Pomona', 'zip_code': '91766', 'country': 'US', 'state': 'CA', 'display_address': ['1371 S E End Ave', 'Pomona, CA 91766']}	Tropical Mexico	2	4.0	350	-117.72417949999999	34.0472021	Pomona	91766	Mexican	Seafood	Breakfast & Brunch	Los Angeles County	402804.0
the-whisper-house-claremont	{'address1': '502 W 1st St', 'address2': '', 'address3': '', 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['502 W 1st St', 'Claremont, CA 91711']}	The Whisper House	2	4.0	699	-117.720320696817	34.0945734870628	Claremont	91711	American (New)	Burgers	Cocktail Bars	Los Angeles County	401902.0
coco-palm-restaurant-pomona	{'address1': '1600 Fairplex Dr', 'address2': None, 'address3': '', 'city': 'Pomona', 'zip_code': '91768', 'country': 'US', 'state': 'CA', 'display_address': ['1600 Fairplex Dr', 'Pomona, CA 91768']}	Coco Palm Restaurant	3	4.0	716	-117.782207183328	34.0760139896287	Pomona	91768	Cuban	Breakfast & Brunch	Venues & Event Spaces	Los Angeles County	402200.0
cityplus-coffee-diamond-bar-2	{'address1': '1155 S Diamond Bar Blvd', 'address2': 'Ste A', 'address3': None, 'city': 'Diamond Bar', 'zip_code': '91765', 'country': 'US', 'state': 'CA', 'display_address': ['1155 S Diamond Bar Blvd', 'Ste A', 'Diamond Bar, CA 91765']}	Cityplus Coffee	2	5.0	32	-117.81145	34.00233	Diamond Bar	91765	Coffee & Tea	Creperies		Los Angeles County	403319.0
menkoi-ya-ramen-claremont-2	{'address1': '333 W Bonita Ave', 'address2': '', 'address3': None, 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['333 W Bonita Ave', 'Claremont, CA 91711']}	Menkoi Ya Ramen	2	4.0	92	-117.7182868	34.0967349	Claremont	91711	Ramen			Los Angeles County	401902.0
