,census_tract,total_pop,not_impoverished_percap,impoverished_percap
544,205110,6184,3442,0.44340232858990947
545,205120,5914,3296,0.44267839026039907
546,206010,5505,3043,0.4472297910990009
547,206020,171,98,0.4269005847953216
548,206031,3504,1991,0.4317922374429224
549,206032,7200,4105,0.42986111111111114
550,206050,3160,1767,0.4408227848101266
551,206200,3902,2099,0.4620707329574577
552,206300,4399,2237,0.4914753353034781
553,207101,4852,2717,0.4400247320692498
554,207102,4145,2269,0.4525934861278649
555,207103,2155,1238,0.4255220417633411
556,207301,6183,3454,0.4413715025068737
557,207302,3466,1957,0.43537218695903057
558,207400,66,37,0.4393939393939394
559,207501,1291,747,0.42137877614252517
560,207502,2266,1301,0.4258605472197705
561,207710,2322,1328,0.4280792420327304
562,207900,4250,2429,0.4284705882352941
563,208000,10078,5644,0.43996824766818815
564,208301,3136,1814,0.4215561224489796
565,208302,4509,2624,0.4180527833222444
566,208401,6238,3460,0.4453350432831036
567,208402,2339,1368,0.4151346729371526
568,208501,1362,795,0.41629955947136565
569,208502,4871,2760,0.4333812358858551
570,208610,3088,1790,0.42033678756476683
571,208620,3130,1822,0.41789137380191693
572,208710,3431,1996,0.41824540950160305
573,208720,7120,3943,0.44620786516853933
574,208801,4200,2376,0.4342857142857143
575,208802,3524,2021,0.42650397275822927
576,208902,3796,2125,0.44020021074815596
577,208903,5584,3175,0.43141117478510027
578,208904,6599,3665,0.44461282012426123
579,209102,9659,5205,0.46112433999378816
580,209103,6504,3363,0.48293357933579334
581,209104,4233,2336,0.44814552326954876
582,209200,3833,2168,0.4343855987477172
583,209300,7717,4303,0.4423998963327718
584,209401,4902,2808,0.42717258261933905
585,209402,5788,3251,0.4383206634416033
586,209403,6296,3387,0.46203939008894535
587,209510,3005,1748,0.4183028286189684
588,209520,3613,2082,0.4237475781898699
589,209810,3129,1740,0.4439117929050815
590,209820,3834,2223,0.42018779342723006
591,210010,5835,3235,0.44558697514995715
592,211000,1184,708,0.40202702702702703
593,211120,3212,1948,0.39352428393524286
594,211121,2328,1393,0.4016323024054983
595,211122,3651,2144,0.412763626403725
596,211201,3275,1942,0.4070229007633588
597,211202,3148,1881,0.4024777636594663
598,211310,5884,3386,0.4245411284840245
599,211320,4373,2550,0.4168762863023096
600,211410,2509,1520,0.39418094858509367
601,211420,4248,2526,0.4053672316384181
602,211500,3073,1837,0.4022128213472177
603,211701,794,480,0.3954659949622166
604,211703,3192,1929,0.3956766917293233
605,211704,2236,1341,0.40026833631484793
606,211802,3726,2240,0.3988191089640365
607,211803,1856,1127,0.3927801724137931
608,211804,2186,1322,0.39524245196706315
609,211910,6169,3587,0.41854433457610635
610,211921,2358,1422,0.3969465648854962
611,211922,3128,1889,0.3960997442455243
612,212101,2235,1344,0.39865771812080536
613,212102,2062,1243,0.3971871968962173
614,212202,6089,3475,0.42929873542453606
615,212203,3136,1887,0.3982780612244898
616,212204,5181,2992,0.42250530785562634
617,212303,4745,2755,0.41938883034773444
618,212304,2764,1595,0.42293777134587557
619,212305,3555,2104,0.4081575246132208
620,212306,3404,2022,0.40599294947121034
621,212410,4460,2641,0.407847533632287
622,212420,4808,2787,0.42034109816971715
623,212501,1296,786,0.39351851851851855
624,212502,1788,1077,0.3976510067114094
625,212610,4296,2545,0.40758845437616387
626,212620,5352,3146,0.41218236173393125
627,212701,1960,1174,0.4010204081632653
628,212702,853,515,0.3962485345838218
629,212800,4851,2881,0.4061018346732632
630,212900,6952,3856,0.44533947065592633
631,213100,2388,1438,0.39782244556113905
632,213201,5575,3251,0.4168609865470852
633,213202,6040,3476,0.42450331125827817
