,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
743,6037267402.0,Monte Alban Restaurant,Mexican,$$,4.0,528,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
744,6037265202.0,Bella Pita,Middle Eastern,$,4.0,718,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
745,6037267402.0,Tlaco Taco,Mexican,$,4.0,17,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
746,6037267501.0,Juquila Restaurant,Latin American,$,4.0,300,Los Angeles,90025.0,41.1,34.7,0.8,0.0,16.8,0.0,66185.0,35156.0,12.4,Los Angeles
747,6037264301.0,Enzo & Angela,Italian,$$,4.0,269,Los Angeles,90025.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
748,6037702803.0,"Laurent's ""Le"" Coffee Shop",Coffee & Tea,$,4.5,65,Los Angeles,90066.0,39.4,42.4,4.7,1.5,7.4,0.0,66424.0,31681.0,15.6,Los Angeles
749,6037267501.0,Cafe 50's,American (Traditional),$$,3.5,829,Los Angeles,90025.0,41.1,34.7,0.8,0.0,16.8,0.0,66185.0,35156.0,12.4,Los Angeles
750,6037267600.0,Yamakase,Japanese,$$$$,4.5,211,Los Angeles,90064.0,30.1,45.1,1.6,0.0,18.6,0.0,72500.0,37148.0,9.3,Los Angeles
751,6037264102.0,Cafe Brentwood,Cafes,$$,3.5,114,Los Angeles,90049.0,6.1,81.5,1.5,0.0,8.2,0.0,93500.0,74559.0,11.3,Los Angeles
752,6037267700.0,Hurry Curry of Tokyo,Japanese Curry,$$,3.5,1368,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
753,6037267700.0,Manpuku Tokyo BBQ,Japanese,$$,4.0,543,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
754,6037267300.0,Flame International Kabob House,Mediterranean,$$,4.5,283,Los Angeles,90025.0,10.9,52.1,5.2,0.0,26.7,0.0,51677.0,40557.0,18.1,Los Angeles
755,6037267402.0,Bagelworks Cafe,Bagels,$,4.0,84,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
756,6037264102.0,Divino,Italian,$$$,4.0,136,Los Angeles,90049.0,6.1,81.5,1.5,0.0,8.2,0.0,93500.0,74559.0,11.3,Los Angeles
758,6037273300.0,MTN,Izakaya,$$$,3.0,141,Los Angeles,90291.0,26.2,56.3,10.6,0.6,2.5,0.0,66500.0,45356.0,11.8,Los Angeles
760,6037262302.0,West Restaurant & Lounge,American (New),$$$,4.0,435,Los Angeles,90049.0,7.1,85.5,0.6,0.0,4.0,0.0,155541.0,102205.0,2.3,Los Angeles
761,6037271902.0,Sunny Grill,American (Traditional),$,4.0,251,Los Angeles,90066.0,22.7,57.9,3.5,0.2,9.5,0.0,64423.0,50776.0,9.0,Los Angeles
762,6037265510.0,Soleil Westwood,French,$$,4.0,556,Los Angeles,90024.0,6.4,49.8,0.6,0.0,38.3,0.0,53431.0,56093.0,37.3,Los Angeles
764,6037267200.0,Moon House Chinese Cuisine,Dim Sum,$$,3.5,379,Los Angeles,90025.0,6.6,68.1,0.6,0.0,23.5,0.0,72449.0,54339.0,6.9,Los Angeles
765,6037267502.0,Taco Plus,Breakfast & Brunch,$,3.5,317,Los Angeles,90025.0,19.0,55.8,1.0,0.0,19.3,0.0,57105.0,40677.0,14.7,Los Angeles
766,6037267402.0,Boba Bear,Cafes,$,4.0,195,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
767,6037701701.0,An Nam Food Truck,Street Vendors,$,4.5,49,Los Angeles,90404.0,22.6,60.8,2.9,0.0,10.6,0.1,71217.0,43179.0,6.9,Los Angeles
768,6037267700.0,Tentenyu Ramen,Ramen,$$,4.0,277,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
769,6037265510.0,Naab Cafe,Persian/Iranian,$$,4.5,389,Los Angeles,90024.0,6.4,49.8,0.6,0.0,38.3,0.0,53431.0,56093.0,37.3,Los Angeles
