,CensusTract,rating,review_count,total_resturants,Mexican,American (New),Food Trucks,Cafes,Coffee & Tea,Italian,Breakfast & Brunch,Burgers,Japanese,Korean,American (Traditional),Mediterranean,Seafood,Chinese,Pizza,Sandwiches,Bakeries,Barbeque,Thai,Ramen,Tacos,Sushi Bars,Bars,Latin American,Asian Fusion,Filipino,Food Stands,Indian,French,Delis,Vegan,Vietnamese,Diners,Sports Bars,Middle Eastern,Persian/Iranian,Salad,Salvadoran,Cocktail Bars,Wine Bars,Chicken Wings,Street Vendors,Taiwanese,Creperies,Hot Dogs,Caribbean,Hawaiian,Brazilian,Southern,Soul Food,average resturant price,Unnamed: 0,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unnamed: 0.1,africanamerican138,africanamerican200,age_0_15_138,age_0_15_200,age_16_18_138,age_16_18_200,age_19_20_138,age_19_20_200,age_21_25_138,age_21_25_200,age_26_59_138,age_26_59_200,age_60_64_138,age_60_64_200,age_65up_138,age_65up_200,asian138,asian200,census_tract,female138,female200,latino138,latino200,male138,male200,multi_race138,nativeamerican138,nativeamerican200,other138,otherrace200,pacific_islander138,pacificislander200,service_area,two_more200,white138,white200,percent_bachelors,africanamericantotal,age_0_15_total,age_16_18_total,age_19_20_total,age_21_25_total,age_26_59_total,age_60_64_total,age_65up_total,asiantotal,femaletotal,latinototal,maletotal,multi_racetotal,nativeamericantotal,othertotal,pacific_islandertotal,whitetotal,total_pop,bachelors_percap,138_percap,200_percap,tract_group
white138,-0.12748565699994815,-0.08036504089244025,0.14959559242595263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13352975722155486,0.18346849553270103,0.20006493142560558,0.1525676621934677,-0.46868562102350286,0.5297872917720693,-0.21325488235397425,0.0008878913367275217,0.11379797134074048,0.0019739924020737995,0.4344155539550134,0.1105638305105336,0.13939038731738945,0.2808927973754185,0.2575156187561226,-0.10325565297529352,-0.23618249682163844,0.45762866430719373,-0.30724145831147054,-0.01734106115317261,-0.3725945907382421,-0.4398288747274241,0.048543318391392976,-0.36262513819201264,-0.22127513281897299,0.3079690065581301,0.1415171121214665,0.24810184757643347,-0.25174186015489614,0.41803033860232736,-0.11852810082771423,0.05751534477670532,0.08188741921180827,-0.0016866222120209828,-0.1850996682685246,-0.10970573406980677,-0.19630144562112534,-0.1978348064930165,-0.29528328790437625,-0.2994673450808351,-0.2931977361322883,-0.297255302054753,0.14605874676909544,0.08223912564567247,0.3261902253326008,0.2771611481956454,0.07214978678941932,0.0417157182610531,0.041553693890292974,0.027608875120017935,0.13304669392264354,0.1253139078654308,0.3406492490084116,0.3091015201400458,-0.12748565699994802,-0.04417902902785841,-0.060748290926604144,-0.2990217282013516,-0.30807767544364956,-0.022467235964287197,-0.0407558801377801,0.6814348182013695,0.049886955794385304,0.0704946012006059,0.007340086971534861,0.011797741199540704,0.03097282728571406,0.036085352121873714,-0.21757448068190324,0.6922924959239036,1.0,0.9895343760941301,0.488358264821507,-0.1972782702318913,-0.29915199734347914,-0.2965802853985842,0.1116918123282826,0.3010774237174692,0.05460985686520798,0.033684040703380186,0.12896494468544867,0.32351121005506955,-0.05365479241182043,-0.3048779723946785,-0.03285057902218874,0.6896557658250227,0.06138652423720191,0.009831459135424067,0.034009142200361143,0.9966608674354472,-0.04362201002989112,0.48835826482150735,-0.03369087690333281,-0.05112575026052608,-0.1255031940845397
white200,-0.14879017390529706,-0.07944522950992725,0.13913550580582887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16019445372732738,0.19704344985403743,0.21127710902593821,0.16729564271814215,-0.4742133812628574,0.5448010953036257,-0.2217288391904391,0.007886635959628102,0.1004754231517999,0.0015971950273852443,0.45027202795909876,0.13289748456867975,0.15388296930618983,0.2970804497746911,0.26864905351751095,-0.1529196084870758,-0.2696867993099379,0.46514924132375424,-0.3184754692879405,-0.017574680852663588,-0.3665363092777735,-0.44791232309588724,0.09487882245961643,-0.3549492530907949,-0.24143030725195327,0.24436753355663804,0.11362738732280496,0.2531754104359615,-0.24385391014350807,0.4439417575910299,-0.10198952957531429,0.03456955472352671,0.08901297492517682,0.001518043689167859,-0.2039030751552715,-0.13699723888796395,-0.20691309632967778,-0.20642857822265467,-0.29704814317572303,-0.29550261127709765,-0.29459429768638556,-0.29334922482608017,0.07203631319190153,0.020941892146224855,0.24291532805778226,0.20613550302932987,0.06572359731558769,0.045251875360587605,0.04888117088646024,0.044500991888612076,0.13506468196722327,0.13597378736017157,0.29789795743631775,0.27940383611679387,-0.1487901739052966,-0.06251692677843504,-0.06777529098677214,-0.30667471669324387,-0.31141326418479326,-0.043791016534316225,-0.050871510657383254,0.6641175361228111,0.03779360138561699,0.06615637405015763,-0.012336088956054198,-0.0007511104760959769,0.02726188511769143,0.03773122315922697,-0.24274522687871342,0.6871331197588505,0.9895343760941301,1.0,0.48765547984053437,-0.20678984083014879,-0.2978274826042803,-0.2950579370901813,0.044345402454589906,0.22407028221579572,0.05396809315939482,0.046549358507128054,0.13595164473080767,0.2880685009061228,-0.06567930144567571,-0.31008837699400477,-0.04791057898584826,0.6790958807939447,0.05334899170090643,-0.006051330736557098,0.033286800812708815,0.9980124134764284,-0.057172122897094564,0.4876554798405347,-0.05354953189474773,-0.05968980655619513,-0.14665204101641766
percent_bachelors,0.08101186140250541,-0.20992004134575815,0.2707972414484094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08385165700129149,-0.0919173038764354,-0.10502206442749273,-0.07163305172020655,-0.8831928200408742,0.8686368585040749,-0.23054603162850687,0.016277151006058702,0.3325441959424428,0.010425058902941096,0.43359253704156087,0.7130871142124631,0.5653539261543921,0.849311590852476,0.7531819012131111,-0.5953392314825203,-0.6577589496654216,0.9489218806054668,-0.7205965627019317,-0.09528480596680021,-0.7650763172610022,-0.7955764575575358,0.3243465547153853,-0.5288766420680049,-0.47051207801354183,0.06878152439132257,0.006404033879026623,0.5769216809563842,-0.3331131389554479,0.26076169444697395,-0.20295692510615435,0.04541724540995173,0.19982375877130504,0.07129873776381403,-0.43683318417514366,0.08826118212948077,-0.34068392458090585,-0.3343071703727269,-0.7097650841457209,-0.74462317641558,-0.7215500373937218,-0.7479729962882333,-0.3879979618205235,-0.4754664959029957,-0.22741408983452793,-0.31372969791491884,-0.5229019247599256,-0.549863755566527,-0.5175587791676651,-0.5487634501600126,-0.337248397562049,-0.3578936118104193,0.09296092800137205,0.08699747635893103,0.08101186140250495,-0.6143421781149464,-0.6431469469119905,-0.7302060849004776,-0.7518004874995701,-0.6118194053743907,-0.6413693406319222,0.12851448215549743,-0.3154986311440055,-0.3304940336685161,-0.3697517055683866,-0.37108612802277147,-0.1501802456837244,-0.15348485366135062,-0.13203879265470292,0.1475782688390914,0.488358264821507,0.48765547984053437,1.0,-0.3374194785735228,-0.7324855496726654,-0.7389459130068763,-0.4374052441217755,-0.2744705058529568,-0.5399120824066742,-0.5375679547125434,-0.350018636586899,0.08978483478012898,-0.6325421119371687,-0.7442144864285212,-0.6302357401204872,0.13959844851570405,-0.32632556415544456,-0.37272452029404557,-0.1528368778862162,0.4892246832993072,-0.6333900387602763,0.9999999999999998,-0.6150901482193128,-0.6442645650045471,0.07964669988139245
africanamericantotal,0.18971700156910992,0.029319885267390617,-0.09918360024853082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3022822384058679,0.20306779673242797,0.15384059985328974,0.23361315493966955,0.12190633263381605,-0.38936928516984576,0.8048681068784819,-0.03892009575965798,-0.2796760556734468,-0.0026125363048282186,0.013002500421526219,-0.3318579010965772,-0.23315746400521337,-0.2712760915558763,-0.21864302057319765,0.3476333832051908,0.307864526033714,-0.32643626568168266,0.306240356826336,0.03342037482434162,0.16033608827560267,0.2739132160727251,-0.08987501778104631,0.14687098819986755,0.17727412724897465,-0.05890344090175249,-0.040735097350430384,-0.19254838735933824,0.24506361623707135,-0.030724280146373562,-0.01287945676803846,0.12877939452161605,-0.14357273834529866,-0.016291183383269726,0.35323870028388366,0.3509350550927394,0.9991633171742953,0.999432760182516,0.5026454174324386,0.48531800342417913,0.5070470108074873,0.4833354305177819,0.36388604477047687,0.38758443683302507,0.27004645700606617,0.3040452046659122,0.49048908035499883,0.4587882148597752,0.5756988194944707,0.5370167843381353,0.36978034287794104,0.34164584918988844,-0.09171303700183377,-0.10086260083311759,0.18971700156910856,0.5407074274428142,0.5134018067423086,0.3344310760395488,0.3187971420254108,0.4927983108295747,0.46823539002370973,0.30924201895334447,0.3665325450501594,0.3681362644467733,0.5346208530086781,0.5278184251362269,0.11285883273290934,0.11406586894666387,0.4347932146002528,0.28654933299926955,-0.1972782702318913,-0.20678984083014879,-0.3374194785735228,1.0,0.4960067850119839,0.49595010391060684,0.37829139681981333,0.2892270256170912,0.4732548108283219,0.5556694218981878,0.35462083807180794,-0.0971050622545614,0.5270547876106746,0.3262995001556761,0.4803374352310502,0.2974980767039998,0.37061994464795495,0.5341214645383803,0.114138377847016,-0.20317007225000527,0.5057899321293702,-0.3374194785735232,0.5189874716354596,0.49281950374739086,0.18906449288635913
age_0_15_total,0.011229170187769658,0.19301768088995438,-0.1996088425567124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07234085407039374,0.3098515574865443,0.2887770769592424,0.3046981709628892,0.7342367929915626,-0.7040386283068237,0.2145797756207141,-0.07855282846500372,-0.34160489528943727,0.010002744050110497,-0.32527948680072716,-0.5873862006169464,-0.4443449248649486,-0.6024461676871959,-0.5167926633971172,0.6561034891402956,0.6577505481423211,-0.7587249619139625,0.5618875848511821,-0.07899381945962158,0.6282617674356624,0.7302770665760466,-0.3597110217814595,0.44507147697130106,0.4567749966481782,-0.05770673871754581,0.0863564581204405,-0.43360654894175465,0.2648963150694031,-0.013204961754966703,0.2885149387157827,-0.20368652996321732,-0.11503183099332241,-0.040493161798116045,0.36942947613602195,0.12396537497463743,0.5024834955133943,0.490050516792066,0.9937009459856359,0.9953567219288435,0.9797638783437078,0.976876419706963,0.6078710256803671,0.7099872226906078,0.43866723510095224,0.5475325041591311,0.852606478493844,0.8712853487913902,0.7152712194014097,0.7488412290523906,0.465314136367621,0.48561255871681686,0.012071755261511616,0.019695669837264035,0.01122917018776967,0.9319778761879213,0.9426005207404031,0.9650352570199954,0.965308793792336,0.9174077511228965,0.931027825084054,0.1074376919216263,0.40992391843614673,0.4155730670913408,0.5705393718111961,0.5556759467290032,0.26187675322478843,0.2534472469684177,0.24619371024825726,0.08298756532541911,-0.29915199734347914,-0.2978274826042803,-0.7324855496726654,0.4960067850119839,1.0,0.9819971013920401,0.666169148926338,0.49856770441176423,0.8656082103931747,0.7374044513937253,0.47822896163558526,0.016422279239717678,0.9409443535999124,0.9674356517304461,0.9276974628006898,0.09407603329726659,0.41656453809246136,0.5658323453578734,0.2585388647585942,-0.299175204709706,0.93737626221831,-0.732485549672665,0.9278368843024921,0.9398209241107166,0.010843342086570751
age_16_18_total,0.00192041590675654,0.19236815721792722,-0.19587342849640416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058961300370850976,0.32325868387191165,0.29647008091042093,0.32248212717230884,0.7311672612626691,-0.706521048711736,0.22186135646522756,-0.08172147491646763,-0.3357768180024731,0.015203062943530476,-0.2988560594047872,-0.5837703458546531,-0.4454123975083773,-0.610548224689935,-0.526635098032358,0.6416060053624811,0.6433520968877832,-0.7617225465989617,0.5686661274490603,-0.053516734397143564,0.623900832285515,0.7177058294039199,-0.333262537850556,0.45132611927664856,0.42863737791179785,-0.05384719825626408,0.0726251808283988,-0.4472841136988028,0.25880640152159645,-0.01025671253997323,0.2704803841691548,-0.1775248287034152,-0.1252568094942462,-0.031007217917172862,0.38460262174711285,0.11059803685585014,0.5017768414594663,0.49052912090732853,0.9738813588962157,0.9790952169591854,0.9952570748604059,0.9968106716560614,0.6190381079340426,0.7227215703533044,0.4410320922909724,0.5504400091477477,0.8370190667173186,0.856433484996028,0.7281055196589535,0.7639765992892557,0.4884455779238637,0.5095497590552976,0.022597672634216883,0.02981989891152376,0.0019204159067566244,0.9253087162369164,0.938644399160203,0.9511072147557593,0.9538625095135079,0.9041939281043433,0.919607874062476,0.11133555126544525,0.4089292424696153,0.4169752427875294,0.5707747148842327,0.5584997174980239,0.25522542044409396,0.24772293272598975,0.24160779293394904,0.08780132747967491,-0.2965802853985842,-0.2950579370901813,-0.7389459130068763,0.49595010391060684,0.9819971013920401,1.0,0.6782382066955589,0.5012317749617481,0.8504101909527119,0.7516143454570946,0.5018856544553133,0.026743678181489317,0.9357822611327866,0.9548895100171368,0.9154583380920573,0.09849927429162361,0.4168475286408915,0.5674899902587975,0.25237268565168164,-0.29648490357123286,0.9287284675602752,-0.7389459130068768,0.917942069738614,0.9321904825858288,0.0020871103321332637
age_19_20_total,0.04404460228478427,0.13449948169418352,-0.15995148009528265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10109509737079829,0.25402571283655406,0.22973467350487592,0.25651871358714706,0.4503046258380168,-0.48297603356047114,0.15044343232159743,-0.08793650850756585,-0.11071369695054838,0.013871951215724218,-0.1543185904186308,-0.497229165171238,-0.36443084486077315,-0.4801367680239323,-0.39580092225406294,0.6852840038962269,0.5515935727303783,-0.49424255590622773,0.37452511452139636,2.9668337368459708e-05,0.3736522591445376,0.45883531551855805,-0.4112428006795456,0.22850607312141383,0.304306958954631,0.35825255453426813,0.21596509015145487,-0.33586113494942144,0.06771320312827839,-0.006712661407243353,0.05841629237082522,0.07246674473726059,-0.1635792734066262,-0.032013975218197745,0.2946726889891839,0.14731984812698093,0.38538432951711327,0.3719755801934008,0.6700023417467377,0.656179268356361,0.6826173768645328,0.6698437540182567,0.9953013432239229,0.9967367510972309,0.9181042619048747,0.9357116916121396,0.662706970912263,0.6519534257038477,0.514696268719953,0.534889311096131,0.35712426478282244,0.3661478919898024,0.37220820963074125,0.31234879804872645,0.044044602284784275,0.7954009702020255,0.7650322666138236,0.6710759578962637,0.6601200100637014,0.786042163841778,0.7593027800153022,0.3984697219593047,0.3334826543389347,0.3230149817767439,0.535308858614263,0.5021243866930011,0.24963151838995823,0.2290814990842592,0.2272506397552757,0.3511917858202202,0.1116918123282826,0.044345402454589906,-0.4374052441217755,0.37829139681981333,0.666169148926338,0.6782382066955589,1.0,0.9308077207769061,0.6580984852160705,0.5283400835268547,0.3632714394533437,0.33908339068501125,0.7808376915154448,0.6663932355161368,0.7731856899207731,0.3732312893340223,0.3308002288560284,0.5203316122955721,0.23942147176406128,0.0738715198664905,0.7795146492062266,-0.4374052441217756,0.7933728849089806,0.7645736217697046,0.04468100508120062
age_21_25_total,0.050447917242977834,0.0702613761579927,-0.08439461402456686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09942827823140687,0.22038085755089953,0.21406577493213252,0.20840709181421113,0.30763624859966165,-0.3606346349930136,0.10073507888633748,-0.07933098308630883,-0.0012935261800960185,0.0171351632452066,-0.08391418162520643,-0.44137096800777315,-0.3068533285612385,-0.38739336102957417,-0.3053576519168854,0.6190184567350231,0.45101159738205276,-0.34192834167550545,0.2670443438221256,-0.005603048272087347,0.243284410751067,0.32161517001557755,-0.4211330901464237,0.11817912884908055,0.27187551824987505,0.4568463860341589,0.23997464585535838,-0.26569039111210735,-0.005568696611133802,0.040281241315495306,-0.005523157765609386,0.1379970734317857,-0.16254371316644822,-0.03633999390305868,0.21126103696122578,0.14164337154492387,0.2950765510801757,0.2840469633014616,0.50402915997826,0.4888642820746976,0.5072185419915516,0.4927717741816259,0.9383216493907124,0.9178600274264346,0.9959349929629604,0.9969054267177383,0.6044343834022491,0.5821810385097886,0.4205161367596979,0.43344739776897584,0.3188528415104597,0.32381748618560724,0.5075594678709717,0.438216676387648,0.05044791724297781,0.6952574624980178,0.6589191752299938,0.5183622863693614,0.5056340796074373,0.70111616309438,0.6681531824754458,0.514957371674398,0.3009165505668143,0.296082526222977,0.4820261305086398,0.44952212562014393,0.22400836266259985,0.20426392558710577,0.1880011381206573,0.47004912472054783,0.3010774237174692,0.22407028221579572,-0.2744705058529568,0.2892270256170912,0.49856770441176423,0.5012317749617481,0.9308077207769061,1.0,0.5929849660787976,0.4296089089844795,0.3225654581841338,0.46935580302622293,0.6770107415841435,0.5123144089823207,0.6845068614267625,0.4914120365835554,0.3009710944956295,0.4671000313261495,0.21411412837600313,0.258279665310496,0.6827914355750372,-0.2744705058529569,0.7003582570082145,0.6654761139032283,0.050846813486094426
age_26_59_total,0.0054405128836905,0.16056496374551635,0.023016484254550062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06635458256681327,0.34262421156880707,0.3480263040029211,0.3094301672637972,0.5455459665649335,-0.57911908784299,0.18969031607569897,-0.06867994419340057,-0.16327592617037046,0.032250635655252026,-0.19257497439014207,-0.6326570610125882,-0.46258568356919305,-0.5309949180196916,-0.441649512590456,0.649808151520594,0.6196266707391626,-0.5914264311293927,0.515692621978098,-0.11892711013763049,0.4586426693284078,0.5397483326789366,-0.45383899631706637,0.2733401479260215,0.5237264941951563,0.07649494538907307,0.15906191303783138,-0.36228836131843956,0.2205801144020197,0.16635203087760525,0.2575381123169945,-0.21528894246228686,-0.05802528999527636,-0.06860590400830677,0.31294028774793325,0.13396045218717811,0.47913087890357425,0.4678217168630869,0.8691531869748472,0.8538607874195951,0.8563145431822199,0.8395455616367627,0.6097100063377807,0.6937131319321496,0.5375517369673669,0.637423975428614,0.9965524613106745,0.9982053572303375,0.8486300545103169,0.8689727315159299,0.6654292472438853,0.6829021524461665,0.29629417568678124,0.30900597406057434,0.005440512883690259,0.9536987435169053,0.9562146200054459,0.8616906199942769,0.8525358244480771,0.9643896233964735,0.9695584047050697,0.4178627159965928,0.5231094076084901,0.5356057810996898,0.6556731916403404,0.6442149091599475,0.27889420231028245,0.27088812876006885,0.19481923781766255,0.39778100886783063,0.05460985686520798,0.05396809315939482,-0.5399120824066742,0.4732548108283219,0.8656082103931747,0.8504101909527119,0.6580984852160705,0.5929849660787976,1.0,0.8636659057708926,0.6772618611610288,0.30415922142988505,0.9581677238906097,0.8584776697020472,0.9700439814555111,0.40792237973524936,0.5344214210764243,0.6533504647936176,0.2758848370849371,0.054387762576236225,0.9669702927896129,-0.5399120824066747,0.9619951811907689,0.965702247842219,0.005361675154676039
age_60_64_total,-0.03877447322609852,0.1741331961238534,0.00011605001163646373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010419949431726519,0.35588816384144367,0.35586652948987646,0.32680450327983274,0.4383797027229703,-0.5264302531708521,0.3061903973542051,-0.027866023946594903,-0.1577245144006905,0.025200253749689414,-0.06267679669748022,-0.5507581673713526,-0.3957723742124341,-0.4760289330027678,-0.39909140862508297,0.5282170055597165,0.5257994790594809,-0.545032823797357,0.5072056462273001,-0.06275169183843947,0.4045159249306198,0.44809633404688304,-0.32697604274841297,0.247144784034696,0.42669588395478697,0.0018675935844978445,0.05715609845417274,-0.3209326796754746,0.28018044886277965,0.141563698147367,0.14999280791941036,-0.1116687775602258,-0.049589965514748986,-0.05515877686529282,0.3742162167030467,0.07561541068743342,0.5599826579525975,0.5514196979259758,0.7304397577229254,0.7359729615433159,0.7478079349761017,0.7494153625087951,0.48102241815435554,0.5639937393346893,0.3786547055682219,0.4712241544759983,0.859727127792904,0.8628097644418306,0.9947541427416221,0.9971081076388936,0.7970208239191674,0.812027533000441,0.23874149252234808,0.2570733472009979,-0.038774473226098415,0.8234236682441083,0.8403846545748874,0.702140464266798,0.7064147740904457,0.8308825488138082,0.8450507316946669,0.39971033543182577,0.620120035599284,0.6293439783280952,0.5923967757282003,0.5950658845291807,0.21048725367807897,0.2115343130258352,0.16134274393399978,0.3924335020308819,0.033684040703380186,0.046549358507128054,-0.5375679547125434,0.5556694218981878,0.7374044513937253,0.7516143454570946,0.5283400835268547,0.4296089089844795,0.8636659057708926,1.0,0.80779249631994,0.24966651816607907,0.8356135391421207,0.7062093545642455,0.8412358991768385,0.39688725378439926,0.6305296955866352,0.59744621355873,0.2121974332970898,0.04105104279814927,0.8409688601915165,-0.5375679547125435,0.8297194325742724,0.845258345955109,-0.03706045135302009
age_65up_total,-0.04135015712892189,0.1309537985137357,0.2188626052650523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008422707621046566,0.2522334395331707,0.2455383034397177,0.23801881650224682,0.23213740796165272,-0.37970371439773315,0.19126462403861008,-0.013947981171759816,0.12360879006526457,0.026537296702123406,-0.02076992167175639,-0.47224459881942377,-0.3190218512489716,-0.3447596388550178,-0.27107348325157915,0.4153575470912541,0.41283040177520347,-0.35123494995268423,0.3815287851471586,-0.050322879909304404,0.19850228507104906,0.27455129070569795,-0.31750863163850374,0.11292520541488564,0.3771301890382918,0.08307932052651561,0.0706168536734942,-0.2151074400608952,0.168529667971334,0.12036579447696023,0.10467465826339924,-0.07995361432095743,-0.03214959483231348,-0.0365046963211483,0.23259303614050486,0.051766386285063984,0.3557611627478861,0.3532363745280617,0.4736242010730766,0.47737613748441005,0.5005140056113885,0.4994574493314017,0.3304476198141521,0.38802726026590506,0.2860520529943112,0.35228892268817497,0.6765475375819155,0.674876703168407,0.8029162286702206,0.8059309495771,0.996386966486531,0.9979915750209292,0.4934114616447296,0.5121112253358552,-0.0413501571289217,0.6266823740991242,0.6415766048240674,0.46344784475381573,0.4666572027520345,0.6273343023195526,0.6394999501630128,0.4143074959681998,0.45411834349744284,0.46802078992472296,0.42593480288371977,0.4299361261169719,0.16412826233144784,0.1695273528782542,0.09118700456277895,0.4052692540215993,0.12896494468544867,0.13595164473080767,-0.350018636586899,0.35462083807180794,0.47822896163558526,0.5018856544553133,0.3632714394533437,0.3225654581841338,0.6772618611610288,0.80779249631994,1.0,0.5051087333979386,0.6370783922420586,0.46635468471663705,0.6359798453008543,0.41054334037957796,0.46557767284409796,0.43070836847815974,0.16803539183698005,0.13325156667612972,0.6385211958255924,-0.35001863658689875,0.6290137664816674,0.6425305968840902,-0.03990793844236277
asiantotal,0.026464278120703053,0.057514633169881375,0.3184864072006611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03246502293432745,0.09501326037539459,0.10225103697756056,0.08031042873010014,-0.09590943595292317,-0.12914199249451164,-0.14938990055535975,0.02118924179397078,0.6911021053250432,0.06179559855107922,0.017680387734969213,-0.2297944905557603,-0.16156642626518197,-0.12149909314331955,-0.07948612669388978,0.22960351385135566,0.15775868717798117,0.026722700782789544,0.09506123976348936,-0.011311439569328832,-0.1190822428278336,-0.0791202488530084,-0.30325418814829563,-0.0569108893690079,0.19823996223937176,0.34521775428305745,0.16470315629872637,-0.07380347641884542,-0.07629538344279205,0.14886106885434522,-0.057256404975928266,0.08559745724703138,-0.03199670294840105,-0.008557021149047654,-0.047193701092099916,0.06161382443254861,-0.09581142803355354,-0.09804830977320472,0.020597619670094693,0.012670872915747358,0.031085615272147895,0.02299245096418234,0.35083129347145403,0.32685476388033785,0.4725155815519613,0.4634806488102242,0.31026659542141016,0.2984482144546327,0.24253994152537686,0.2532659413057668,0.49965187348028045,0.506803194127176,0.997120864174174,0.9983066119945221,0.02646427812070306,0.25804890355485405,0.2500799188155019,0.041641401841772334,0.03507473359978534,0.2687875995989235,0.25999659646986856,0.42285983724597825,0.10944140935490079,0.10739353886662828,0.13657850476143493,0.13197710858314093,0.11892101232090076,0.10851855943885982,-0.008129804012990157,0.4125181491986834,0.32351121005506955,0.2880685009061228,0.08978483478012898,-0.0971050622545614,0.016422279239717678,0.026743678181489317,0.33908339068501125,0.46935580302622293,0.30415922142988505,0.24966651816607907,0.5051087333979386,1.0,0.2543852300998016,0.03799606474364079,0.2645902480145791,0.41839222781659313,0.10930572474394362,0.1348790009111492,0.1137129908068193,0.3042911393195752,0.2601795983096755,0.0897848347801289,0.2641350936219163,0.25571459193095947,0.02798687119888672
femaletotal,0.016354250532604,0.17857027809197037,-0.09053469402680377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08361792934012222,0.3507636850022373,0.33141708145239823,0.3406094790984703,0.6230943336941189,-0.6547562994716098,0.23310251988929492,-0.08326945041981343,-0.2152133947282204,0.02363621170501333,-0.22946900028574813,-0.6412246208657494,-0.4706858444742125,-0.5884423399305724,-0.49344826340041126,0.6979868446609029,0.6562465625405017,-0.6762898474016683,0.5450502897964044,-0.07352216089089371,0.5261748157255218,0.6269313017383762,-0.42153717820109343,0.35047494439052745,0.47467855721662605,0.08242691960220314,0.13973367566180428,-0.4153617768528092,0.21912451232719554,0.08327768303037117,0.23239006975051427,-0.1415297956120448,-0.11907176366067929,-0.05371023756654112,0.3565330350558444,0.14841704908266176,0.5327973272929492,0.5216640628851676,0.93917927888081,0.9330004571449677,0.937398222813833,0.9278311357418073,0.7329732938882437,0.8151341130329627,0.6233650545705288,0.719331610811466,0.9520237582758404,0.9584985199239637,0.8155001531123571,0.8448829906801143,0.6247746979185965,0.6432590456256807,0.25514118050978446,0.2528126729407427,0.016354250532604007,0.9959132993425506,0.9975108266687037,0.9153664140306401,0.910938559124174,0.9822716550644308,0.9867923082401753,0.35689887521032254,0.4732033258417506,0.4842329827392525,0.6545532145456819,0.6389649101427706,0.28511559455284974,0.27589869475290335,0.24250741756721544,0.329367388405238,-0.05365479241182043,-0.06567930144567571,-0.6325421119371687,0.5270547876106746,0.9409443535999124,0.9357822611327866,0.7808376915154448,0.6770107415841435,0.9581677238906097,0.8356135391421207,0.6370783922420586,0.2543852300998016,1.0,0.9149720758656184,0.9876110655229436,0.34259339567325114,0.4832887990527743,0.6499565987987466,0.28145939723091107,-0.0605975964151799,0.9970362075859528,-0.6325421119371677,0.9924321778011321,0.9953191896342873,0.016524146906365576
