,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
1980,North Carolina,Wake,975890,73515.42286938077,185,61.04942278330546,9.937215157446028,20.38559817192511,6.045343327629141,0.2608527600446771,2.273651231183843,48.66204182848477,51.33795817151523
2059,Ohio,Cuyahoga,1260579,51471.334217054224,441,60.45561396786718,5.255544951962548,29.249296950052305,2.7552589722659167,0.15729383085074405,2.112210579424217,47.57789872748951,52.42210127251049
2066,Ohio,Franklin,1203198,58761.92519103256,281,65.65709534091641,5.031416358737299,21.271111903443984,4.2144696051688895,0.1321180720047739,3.6583462572244945,48.6850875749461,51.31491242505389
2072,Ohio,Hamilton,804194,55776.48992282957,222,66.81316585301559,2.8125122793753747,25.551250320196377,2.236660805725982,0.13067083315717357,2.431262978833465,48.06812783979985,51.93187216020016
2184,Oklahoma,Oklahoma,753424,53664.8462937204,236,57.95762306483463,16.0570808734524,14.59918014292085,3.2195192879441086,2.634327682685977,5.466292154218607,48.90088449531738,51.09911550468262
2232,Oregon,Multnomah,768418,58181.459339838475,170,71.30030751492025,11.086787789978892,5.31077304279702,6.776778784463665,0.6024767769625389,4.309119775955274,49.4164634352657,50.5835365647343
2244,Pennsylvania,Allegheny,1224132,59118.05417961461,389,79.6659754013456,1.8257718121901894,12.829703169266054,3.248877735407618,0.10274096257593139,2.308253194916888,48.050700414661165,51.949299585338835
2288,Pennsylvania,Montgomery,809810,87243.64810634594,210,77.61178004717156,4.59214124300762,8.476540793519472,7.032116298884928,0.07561181017769601,2.187834924241489,48.3749274521184,51.6250725478816
2293,Pennsylvania,Philadelphia,1547969,40641.438537205846,373,35.86292645395353,13.359242594651452,41.45245079197322,6.80489861231072,0.18352389485835954,2.308668584448396,47.178141164325645,52.82185883567436
2583,Tennessee,Shelby,933267,53425.223960560055,216,37.55497162119737,5.90169104875668,52.396906351558556,2.493494144762431,0.12353335112031173,1.5095939318544411,47.4865177918002,52.513482208199804
2614,Texas,Bexar,1825454,56293.60354574807,362,29.307796690576687,59.14239268696995,7.06717150911499,2.532758480903929,0.1822336251694099,1.7332323904080837,49.1746710681288,50.8253289318712
2642,Texas,Collin,862215,91075.27317548408,152,60.75087339004771,15.013824162186928,8.870476041358597,12.432283015257218,0.347186606588844,2.525665524260189,49.08984418039584,50.910155819604164
2656,Texas,Dallas,2479481,55986.930107954046,524,31.380221304377837,39.097300806096094,21.85431499575919,5.599357486506256,0.17238030862103815,1.849393885252601,49.330928528994576,50.669071471005424
2669,Texas,El Paso,831095,45188.28640648782,160,13.342554461283,81.29902345700553,3.056055805894633,1.0472908632587132,0.25577124155481623,0.8699708216268908,48.86529217478146,51.13470782521854
2700,Texas,Harris,4342911,61649.700248059424,781,31.59200614518694,41.65969689454833,18.488600710445116,6.499222572141135,0.17799671694860883,1.5234723668065038,49.73235693754719,50.26764306245282
2707,Texas,Hidalgo,819217,36663.775905529306,112,7.275638567070749,91.03296794378042,0.4282496579050484,0.9982532100774276,0.06606588974594034,0.18979391296811496,48.73360782307984,51.266392176920164
2818,Texas,Tarrant,1914526,65089.726988821254,356,49.83894969303107,27.608148230945933,15.082952542822603,4.904733443160341,0.2836562679221908,2.1171657632228547,48.95551170368018,51.04448829631983
2825,Texas,Travis,1119285,68328.33325203143,215,49.85312159101567,33.733638974881295,7.874724667980002,6.006318944683436,0.16443193645943618,2.311661194423226,50.29201677856846,49.70798322143154
2870,Utah,Salt Lake,1076103,67001.92442266214,210,72.84757314123279,17.628305747684006,1.5472251262193304,3.6312262859596163,0.6334743978968554,2.211376977854352,50.1143477901279,49.885652209872106
2933,Virginia,Fairfax,1112084,120031.8895380205,252,52.30933014052893,16.270507623524846,9.17294386035587,18.33899022016322,0.12850018523780574,3.724153031605524,49.49868894795717,50.50131105204283
3045,Washington,King,2040578,81113.56022950361,396,62.83863915027995,9.28148607894429,6.040833234505123,15.454014254784672,0.5832665548682774,5.036310055288258,49.9131618590419,50.0868381409581
3055,Washington,Pierce,821952,62652.334006122015,172,68.82920000194659,9.96363546776454,6.497858147434397,5.957324515300167,0.975054139414467,6.435215438371097,49.66336233746009,50.33663766253991
3163,Wisconsin,Milwaukee,954190,47522.69528500613,295,53.10033850700594,14.040168310294595,26.126836583908876,3.7614328383236026,0.4880598203712044,2.4694594367997995,48.29551766419686,51.704482335803135
